instance,FsbDrop,FsbHeur,FsbSupp1,FsbSupp2,FsbSuppInf,RbpDrop,RbpHeur,RbpSupp1,RbpSupp2,RbpSuppInf
10teams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,6.5
air03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
air04,0.0,0.0,0.0,1.8,1.8,0.0,0.0,2.4,2.4,2.4
air05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,17.8,17.8
bell3a,0.5,99.2,0.5,12.4,62.5,72.0,98.5,72.6,75.5,89.5
bell5,0.1,98.6,0.1,0.2,10.6,39.4,86.5,40.3,42.2,53.1
cap6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dano3mip,0.0,0.0,0.0,0.0,0.0,96.3,96.3,96.3,96.3,96.3
danoint,0.0,0.1,0.0,17.8,17.8,82.1,82.2,87.7,89.7,89.7
dcmulti,0.0,7.0,0.0,8.9,8.9,17.5,20.8,20.6,20.9,20.9
egout,0.0,16.7,0.0,29.2,29.2,46.1,52.9,51.0,59.4,59.4
enigma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fast0507,0.0,0.0,0.0,0.0,0.0,83.8,83.8,83.8,83.8,83.8
fiber,0.0,6.8,0.0,3.3,5.0,84.4,88.4,85.4,87.3,89.6
fixnet6,0.0,5.1,0.0,42.6,95.9,92.6,96.4,94.0,95.0,99.0
flugpl,0.0,85.9,0.0,6.2,89.7,0.0,87.5,0.2,14.4,94.7
gen,0.0,27.2,0.0,54.9,75.3,17.5,75.7,68.3,74.0,74.0
gesa2,0.1,0.6,0.1,0.6,0.6,86.6,86.9,86.9,87.3,87.3
gesa2_o,0.2,1.1,0.2,2.9,2.9,86.3,86.9,86.5,86.8,86.8
gesa3,0.0,3.1,0.0,1.7,1.7,16.3,17.4,38.7,38.7,38.7
gesa3_o,0.0,0.7,0.0,2.7,2.7,58.2,59.1,73.6,73.6,73.6
gt2,99.4,99.8,99.4,99.9,99.9,0.0,38.2,12.1,29.5,55.9
harp2,0.0,1.1,0.0,27.4,28.9,83.1,83.1,89.4,89.4,91.6
khb05250,0.0,19.8,0.0,22.3,28.2,0.3,25.7,12.3,29.5,35.5
l152lav,0.0,40.0,0.0,27.4,59.4,2.2,37.2,39.2,57.3,90.4
lseu,0.0,42.7,0.0,37.1,90.8,72.8,87.6,78.9,86.7,98.6
markshare1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
markshare2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mas74,0.0,26.1,0.0,10.5,10.5,85.0,92.3,88.5,89.3,96.6
mas76,0.0,28.9,0.0,13.1,62.7,82.1,90.4,85.3,86.7,95.9
misc03,0.0,7.9,0.0,7.2,7.2,0.0,29.1,14.7,24.2,24.2
misc06,0.0,32.7,0.0,57.1,57.1,20.2,40.4,32.3,46.5,52.5
misc07,0.0,1.8,0.0,11.4,11.4,72.6,82.6,80.3,82.3,82.3
mitre,78.5,78.5,78.5,78.5,96.8,100.0,100.0,100.0,100.0,100.0
mkc,97.9,97.9,97.9,98.1,99.1,96.5,96.7,96.9,96.9,97.4
mod008,0.0,63.5,0.0,19.7,94.1,74.9,91.8,77.1,80.7,98.7
mod010,0.0,87.4,0.0,42.2,94.5,0.0,45.3,0.0,34.0,34.0
modglob,0.0,2.2,0.0,15.9,15.9,86.4,90.0,89.0,89.5,90.9
noswot,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
nw04,0.0,1.4,0.0,0.6,28.8,0.0,1.9,0.3,0.3,0.3
p0201,0.0,8.1,0.0,8.7,8.7,0.0,16.6,6.8,10.6,10.6
p0282,0.0,42.7,0.0,24.3,24.3,0.0,32.8,7.2,17.1,25.6
p0548,0.0,0.0,0.0,1.4,1.4,97.4,98.6,98.5,98.6,98.7
p2756,99.9,99.9,99.9,99.9,99.9,99.3,99.6,99.6,99.6,99.6
pk1,0.0,15.0,0.0,14.2,14.2,81.5,87.5,85.0,87.5,90.2
pp08a,0.0,4.7,0.0,0.0,0.0,89.6,91.5,89.6,89.6,89.6
pp08aCUTS,0.0,4.5,0.0,0.0,0.0,84.7,88.2,84.7,84.7,84.7
qiu,0.0,0.1,0.0,0.0,0.0,28.6,28.7,28.6,28.6,28.6
qnet1,0.0,44.2,0.0,29.7,77.1,0.0,45.3,4.9,39.5,65.8
qnet1_o,0.0,35.6,0.0,16.5,54.0,0.0,44.2,26.0,43.9,52.0
rgn,0.1,17.1,0.1,21.0,33.8,0.0,2.9,2.4,3.0,3.1
rout,0.0,5.8,0.0,17.4,17.4,88.9,94.4,91.6,93.4,95.5
set1ch,0.0,0.3,0.0,43.0,43.0,96.1,98.0,98.0,98.0,98.2
seymour,0.0,0.0,0.0,0.0,0.0,91.0,91.0,91.1,91.2,91.2
stein27,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.9,0.9,0.9
stein45,17.7,17.7,17.7,17.7,17.7,82.8,84.6,83.2,83.2,83.2
swath,0.0,0.0,0.0,0.5,12.1,94.5,94.5,97.3,97.7,97.7
vpm1,22.2,34.9,22.2,67.1,80.9,87.7,97.6,92.3,97.4,99.6
vpm2,0.0,19.2,0.0,0.0,0.0,87.0,92.7,87.0,87.0,87.0
Mean,12.1,27.7,12.1,24.0,35.2,51.9,63.7,57.3,61.4,66.3
